link_text,href,link_type,section_title
Searching the tree,#searching-the-tree,internal_anchor,
Kinds of filters,#kinds-of-filters,internal_anchor,
A string,#a-string,internal_anchor,
A regular expression,#a-regular-expression,internal_anchor,
True,#true,internal_anchor,
A function,#a-function,internal_anchor,
A list,#a-list,internal_anchor,
find_all(),#find-all,internal_anchor,
The name argument,#the-name-argument,internal_anchor,
The keyword arguments,#the-keyword-arguments,internal_anchor,
Searching by CSS class,#searching-by-css-class,internal_anchor,
The string argument,#the-string-argument,internal_anchor,
The limit argument,#the-limit-argument,internal_anchor,
The recursive argument,#the-recursive-argument,internal_anchor,
Calling a tag is like calling find_all(),#calling-a-tag-is-like-calling-find-all,internal_anchor,
find(),#find,internal_anchor,
find_parents() and find_parent(),#find-parents-and-find-parent,internal_anchor,
find_next_siblings() and find_next_sibling(),#find-next-siblings-and-find-next-sibling,internal_anchor,
find_previous_siblings() and find_previous_sibling(),#find-previous-siblings-and-find-previous-sibling,internal_anchor,
find_all_next() and find_next(),#find-all-next-and-find-next,internal_anchor,
find_all_previous() and find_previous(),#find-all-previous-and-find-previous,internal_anchor,
CSS selectors through the .css property,#css-selectors-through-the-css-property,internal_anchor,
Advanced Soup Sieve features,#advanced-soup-sieve-features,internal_anchor,
Namespaces in CSS selectors,#namespaces-in-css-selectors,internal_anchor,
History of CSS selector support,#history-of-css-selector-support,internal_anchor,
Modifying the tree,#modifying-the-tree,internal_anchor,
Changing tag names and attributes,#changing-tag-names-and-attributes,internal_anchor,
Modifying .string,#modifying-string,internal_anchor,
append(),#append,internal_anchor,
extend(),#extend,internal_anchor,
NavigableString() and .new_tag(),#navigablestring-and-new-tag,internal_anchor,
insert(),#insert,internal_anchor,
insert_before() and insert_after(),#insert-before-and-insert-after,internal_anchor,
clear(),#clear,internal_anchor,
extract(),#extract,internal_anchor,
decompose(),#decompose,internal_anchor,
replace_with(),#replace-with,internal_anchor,
